text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DarkCorner	1	0.1	1	0
NC1_00000197	-1	0.1	1	0
NC1_00000215	-1	0.1	1	0
NC2_00079215	-1	0.1	1	0
NC2_00092197	-1	0.1	1	0
NC2_00106057	-1	0.1	1	0
NC2_00122731	-1	0.1	1	0
NegativeControl	-1	0.1	1	0
SCorner3	1	460.18	46.2433	1
bkv-miR-B1-3p	0	0.1	1	0
bkv-miR-B1-5p	0	0.1	1	0
dmr_285	1	3614.24	268.398	1
dmr_3	1	1774.29	127.844	1
dmr_308	1	0.1	1	0
dmr_316	1	0.1	1	0
dmr_31a	1	1536.91	110.364	1
dmr_6	1	1563.35	111.976	1
ebv-miR-BART1-3p	0	0.1	1	0
ebv-miR-BART1-5p	0	0.1	1	0
ebv-miR-BART10	0	34.6173	2.67718	1
ebv-miR-BART10*	0	0.1	1	0
ebv-miR-BART11-3p	0	0.1	1	0
ebv-miR-BART11-5p	0	0.1	1	0
ebv-miR-BART12	0	50.511	3.29569	1
ebv-miR-BART13	0	6.86627	2.1452	1
ebv-miR-BART13*	0	0.1	1	0
ebv-miR-BART14	0	0.1	1	0
ebv-miR-BART14*	0	0.1	1	0
ebv-miR-BART15	0	0.1	1	0
ebv-miR-BART16	0	47.4294	3.21583	1
ebv-miR-BART17-3p	0	0.1	1	0
ebv-miR-BART17-5p	0	0.1	1	0
ebv-miR-BART18-3p	0	0.1	1	0
ebv-miR-BART18-5p	0	0.1	1	0
ebv-miR-BART19-3p	0	0.1	1	0
ebv-miR-BART19-5p	0	0.1	1	0
ebv-miR-BART2-3p	0	0.1	1	0
ebv-miR-BART2-5p	0	0.1	1	0
ebv-miR-BART20-3p	0	0.1	1	0
ebv-miR-BART20-5p	0	0.1	1	0
ebv-miR-BART3	0	0.1	1	0
ebv-miR-BART3*	0	18.8391	2.07594	1
ebv-miR-BART4	0	9.97234	1.60952	1
ebv-miR-BART5	0	0.1	1	0
ebv-miR-BART6-3p	0	0.1	1	0
ebv-miR-BART6-5p	0	0.1	1	0
ebv-miR-BART7	0	0.1	1	0
ebv-miR-BART7*	0	0.1	1	0
ebv-miR-BART8	0	0.1	1	0
ebv-miR-BART8*	0	0.1	1	0
ebv-miR-BART9	0	0.1	1	0
ebv-miR-BART9*	0	0.1	1	0
ebv-miR-BHRF1-1	0	0.1	1	0
ebv-miR-BHRF1-2	0	0.1	1	0
ebv-miR-BHRF1-2*	0	0.1	1	0
ebv-miR-BHRF1-3	0	0.1	1	0
hcmv-miR-UL112	0	0.1	1	0
hcmv-miR-UL148D	0	0.1	1	0
hcmv-miR-UL22A	0	0.1	1	0
hcmv-miR-UL22A*	0	0.1	1	0
hcmv-miR-UL36	0	0.1	1	0
hcmv-miR-UL36*	0	0.1	1	0
hcmv-miR-UL70-3p	0	27.3156	3.48296	1
hcmv-miR-UL70-5p	0	0.1	1	0
hcmv-miR-US25-1	0	0.1	1	0
hcmv-miR-US25-1*	0	0.1	1	0
hcmv-miR-US25-2-3p	0	0.1	1	0
hcmv-miR-US25-2-5p	0	0.1	1	0
hcmv-miR-US33-3p	0	0.1	1	0
hcmv-miR-US33-5p	0	0.1	1	0
hcmv-miR-US4	0	0.1	1	0
hcmv-miR-US5-1	0	0.1	1	0
hcmv-miR-US5-2	0	0.1	1	0
hiv1-miR-H1	0	0.1	1	0
hiv1-miR-N367	0	0.1	1	0
hiv1-miR-TAR-3p	0	0.1	1	0
hiv1-miR-TAR-5p	0	0.1	1	0
hsa-let-7a-3p	0	0.1	1	0
hsa-let-7a-5p	0	19.938	3.21138	1
hsa-let-7b-3p	0	19.3991	2.25854	1
hsa-let-7b-5p	0	30.0755	3.58627	1
hsa-let-7c	0	0.1	1	0
hsa-let-7c*_v16.0	0	0.1	1	0
hsa-let-7d-3p	0	0.1	1	0
hsa-let-7d-5p	0	0.1	1	0
hsa-let-7e*_v17.0	0	0.1	1	0
hsa-let-7e-5p	0	0.1	1	0
hsa-let-7f-1-3p	0	18.9007	2.25068	1
hsa-let-7f-2-3p	0	0.1	1	0
hsa-let-7f-5p	0	24.6386	3.43071	1
hsa-let-7g-3p	0	0.1	1	0
hsa-let-7g-5p	0	50.2623	4.67321	1
