Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa03040:Spliceosome	59	1.638888888888889	1.506448127346338E-12	A_32_P62571, A_23_P160862, A_23_P15511, A_23_P259451, A_24_P268856, A_23_P14389, A_23_P45737, A_23_P141636, A_23_P34930, A_23_P64770, A_24_P4795, A_23_P126291, A_23_P133995, A_23_P49517, A_32_P41405, A_24_P380919, A_24_P389517, A_23_P200216, A_23_P68401, A_23_P351320, A_23_P168062, A_23_P31602, A_23_P6303, A_24_P171110, A_23_P152651, A_23_P163006, A_32_P402521, A_23_P38011, A_23_P142022, A_23_P156471, A_23_P9756, A_23_P131626, A_24_P316305, A_23_P110704, A_24_P504405, A_24_P315921, A_23_P377819, A_24_P148086, A_23_P200940, A_23_P55190, A_32_P42197, A_23_P212639, A_23_P60537, A_23_P152984, A_23_P37347, A_24_P145911, A_23_P35131, A_23_P346301, A_23_P127195, A_23_P45756, A_24_P123616, A_23_P105519, A_23_P30377, A_23_P127233, A_23_P86884, A_32_P101301, A_23_P77776, A_32_P173298, A_24_P488586, A_23_P16762, A_23_P16615, A_23_P372334, A_23_P64083	958	126	5085	2.4854607813898	2.8622770820163623E-10	2.8622770820163623E-10	1.872324517648849E-9
KEGG_PATHWAY	hsa03050:Proteasome	31	0.8611111111111112	1.1818822639050486E-11	A_32_P7118, A_23_P86216, A_23_P91468, A_23_P156531, A_23_P140301, A_23_P100576, A_24_P284893, A_23_P77876, A_23_P761, A_24_P73962, A_23_P150286, A_23_P75889, A_23_P26783, A_23_P207600, A_24_P91310, A_23_P37191, A_24_P352864, A_24_P347488, A_23_P79628, A_24_P42681, A_23_P345591, A_23_P165691, A_23_P12168, A_24_P128205, A_24_P124992, A_23_P112613, A_23_P164035, A_23_P42664, A_23_P104607, A_23_P9362, A_23_P304287, A_23_P109928, A_23_P106741	958	47	5085	3.5009772131657266	2.245565955405482E-9	1.122782977702741E-9	1.4689116589750029E-8
KEGG_PATHWAY	hsa00970:Aminoacyl-tRNA biosynthesis	23	0.638888888888889	5.555351068482461E-7	A_23_P69988, A_23_P108415, A_32_P532216, A_23_P258964, A_23_P41588, A_24_P175909, A_23_P117727, A_24_P172990, A_23_P101185, A_24_P154948, A_23_P151093, A_23_P24960, A_23_P74380, A_24_P51360, A_23_P97632, A_23_P74843, A_23_P126790, A_23_P152353, A_24_P95439, A_23_P379550, A_23_P383688, A_23_P165346, A_23_P70168, A_23_P146736	958	41	5085	2.9776210601354447	1.0554612922719642E-4	3.518328092444456E-5	6.904520753581167E-4
KEGG_PATHWAY	hsa04110:Cell cycle	42	1.1666666666666667	1.1383479996931706E-4	A_24_P397107, A_23_P377830, A_23_P163850, A_24_P124550, A_23_P163481, A_23_P139895, A_23_P250994, A_23_P114656, A_23_P58321, A_23_P133629, A_23_P309545, A_24_P394698, A_23_P28886, A_24_P166663, A_24_P360674, A_23_P152218, A_23_P331087, A_23_P89941, A_23_P100344, A_23_P90612, A_23_P148807, A_23_P17204, A_23_P133424, A_24_P123011, A_23_P500251, A_23_P31414, A_23_P31721, A_24_P81841, A_23_P93690, A_23_P57379, A_23_P217411, A_24_P303589, A_23_P138631, A_23_P30338, A_23_P123022, A_24_P239606, A_23_P23221, A_23_P85460, A_23_P370989, A_23_P385034, A_23_P654, A_23_P39616, A_23_P131723, A_23_P49972	958	125	5085	1.7834655532359083	0.021397595581585938	0.005392866784270978	0.14138911433537737
KEGG_PATHWAY	hsa03018:RNA degradation	23	0.638888888888889	3.642842140015112E-4	A_23_P162822, A_23_P81121, A_23_P123905, A_24_P193570, A_32_P133244, A_23_P112652, A_23_P49021, A_32_P76091, A_23_P110304, A_23_P313512, A_23_P62868, A_23_P69497, A_24_P105501, A_23_P99559, A_23_P259451, A_24_P101114, A_23_P110661, A_24_P77676, A_23_P20384, A_23_P300781, A_23_P166135, A_24_P219024, A_23_P35591, A_23_P216396	958	57	5085	2.1417976046588287	0.06688479759121979	0.01374991644418655	0.45181424743392373
KEGG_PATHWAY	hsa00100:Steroid biosynthesis	10	0.2777777777777778	0.0016202797691051759	A_23_P379475, A_23_P211252, A_23_P24444, A_23_P11859, A_23_P171077, A_23_P97860, A_23_P71319, A_23_P98446, A_23_P110184, A_23_P171034	958	17	5085	3.1223136436202874	0.2651602494338423	0.0500543168593115	1.9952458551951047
KEGG_PATHWAY	hsa04520:Adherens junction	26	0.7222222222222222	0.0027941312651647864	A_24_P301146, A_23_P163850, A_24_P934809, A_23_P208293, A_23_P436353, A_23_P7582, A_23_P202280, A_23_P164507, A_23_P206359, A_23_P56798, A_23_P502142, A_23_P29495, A_23_P205828, A_23_P14915, A_23_P257895, A_23_P417282, A_23_P80759, A_23_P397455, A_23_P201376, A_23_P500773, A_23_P301304, A_23_P168306, A_23_P58647, A_24_P176079, A_23_P131846, A_24_P76666, A_32_P167278	958	77	5085	1.7922891304937236	0.41235250312180083	0.0731345392594408	3.417811170344265
KEGG_PATHWAY	hsa04120:Ubiquitin mediated proteolysis	39	1.0833333333333335	0.006311453033523427	A_23_P27279, A_23_P377830, A_23_P139895, A_23_P132611, A_23_P152107, A_23_P250994, A_23_P145584, A_24_P265135, A_24_P172993, A_23_P77274, A_32_P128656, A_23_P119141, A_23_P396194, A_23_P133629, A_23_P309545, A_23_P21230, A_23_P146990, A_23_P151471, A_24_P153853, A_23_P432512, A_23_P331087, A_23_P17204, A_23_P133424, A_23_P149678, A_23_P257503, A_32_P188178, A_32_P91250, A_23_P211840, A_23_P60028, A_23_P201279, A_24_P303589, A_23_P350070, A_23_P217886, A_23_P75921, A_24_P324986, A_23_P219207, A_23_P203009, A_23_P16337, A_23_P170037, A_23_P71430, A_24_P296520, A_24_P148450	958	137	5085	1.51101747862792	0.6997009137242409	0.13961218468274939	7.567480987967123
KEGG_PATHWAY	hsa00510:N-Glycan biosynthesis	17	0.4722222222222222	0.0074651473304294105	A_32_P88598, A_23_P60718, A_23_P151436, A_24_P103803, A_23_P257423, A_23_P22672, A_23_P58482, A_23_P104734, A_23_P313632, A_23_P103601, A_24_P795594, A_23_P103919, A_23_P108994, A_23_P156431, A_24_P213548, A_24_P388528, A_23_P434473, A_23_P146728	958	46	5085	1.961627484796224	0.7591783568800884	0.14631136123220234	8.89246131140321
KEGG_PATHWAY	hsa03022:Basal transcription factors	14	0.3888888888888889	0.008325914784342633	A_23_P59202, A_23_P52311, A_23_P16143, A_23_P122876, A_23_P63178, A_23_P35309, A_23_P19313, A_24_P385119, A_23_P14132, A_23_P168276, A_23_P21734, A_23_P80062, A_23_P94118, A_23_P35148	958	35	5085	2.1231732776617953	0.7957776798045202	0.14687961262762816	9.869623652507997
